Variation due to ,Sum of Squares,Degrees of Freedom,Mean Sum of Squares
Regression (model),SS reg,1,MS reg = SS reg/1
Residual,SS res,n-2,MS res = SS res/(n-2)
Total,SS yy,n-1,SS yy/(n-1)
