Model with,sigma_u,sigma_e,sigma_u,sigma_e
ses,2.184,6.085,2.175,6.085
ses & sector,1.92,6.086,1.903,6.086
"ses, size & sector",1.907,6.086,1.883,6.085
"ses, size & sector & size*sector",1.887,6.086,1.854,6.086
