Parameter,est,se,est,se,est,se
Fixed part,,,,,,
beta0,-0.03,-,0.031,0.405,-0.109,0.403
beta1,0.56,0.013,0.563,0.013,0.557,0.2
Random part,,,,,,
u00,3.38,-,3.07,0.312,3.041,0.311
u11,-,-,-,-,0.122,0.019
"Corr(0,1)",-,-,-,-,0.494,0.149
e,7.522,-,7.524,0.084,7.442,0.084
